Notaria 38;;;liquidaciones;;EM1c31s38;29;115;04/04/2026;20/08/2026;;;;;;274;;;;;;;
6351;26101923968517;;Tolima;;Enviado;;Si;19-08-26;19-08-26;19-08-26;00-01-00;;No;;;;;;;;;
6371;26101923972488;;Tolima;;Enviado;;Si;19-08-26;19-08-26;19-08-26;00-01-00;;No;;;;;;;;;
5813;26101923976459;;Huila;;Enviado;;Si;19-08-26;19-08-26;19-08-26;00-01-00;;No;;;;;;;;;
6188;26101923980430;;Huila;;Enviado;;Si;19-08-26;19-08-26;19-08-26;00-01-00;;No;;;;;;;;;
6425;26101923984401;;Cundinamarca;;Enviado;;Si;19-08-26;19-08-26;19-08-26;00-01-00;;No;;;;;;;;;
5865;26101923988372;;Boyacá;;Enviado;;Si;19-08-26;19-08-26;19-08-26;00-01-00;;No;;;;;;;;;
5922;26101923992343;;Antioquia;;Enviado;;Si;19-08-26;19-08-26;19-08-26;00-01-00;;No;;;;;;;;;
5839;26101923996314;;Risaralda;;Enviado;;Si;19-08-26;19-08-26;19-08-26;00-01-00;;No;;;;;;;;;
5880;26101924000285;;Risaralda;;Enviado;;Si;19-08-26;19-08-26;19-08-26;00-01-00;;No;;;;;;;;;
6098;26101924004256;;NARIÑO;;Enviado;;Si;19-08-26;19-08-26;19-08-26;00-01-00;;No;;;;;;;;;
6297;26101924008227;;NARIÑO;;Enviado;;Si;19-08-26;19-08-26;19-08-26;00-01-00;;No;;;;;;;;;
6331;26101924012198;;Santander;;Enviado;;Si;19-08-26;19-08-26;19-08-26;00-01-00;;No;;;;;;;;;
6184;26101924016169;;Santander;;Enviado;;Si;19-08-26;19-08-26;19-08-26;00-01-00;;No;;;;;;;;;
6143;26101924020140;;Santander;;Enviado;;Si;19-08-26;19-08-26;19-08-26;00-01-00;;No;;;;;;;;;
5523;26101924024111;;Santander;;Enviado;;Si;19-08-26;19-08-26;19-08-26;00-01-00;;No;;;;;;;;;
6062;26101924028082;;Cundinamarca;;Enviado;;Si;19-08-26;19-08-26;19-08-26;00-01-00;;No;;;;;;;;;
6332;26101924032053;;Cundinamarca;;Enviado;;Si;19-08-26;19-08-26;19-08-26;00-01-00;;No;;;;;;;;;
6302;26101924036024;;Cundinamarca;;Enviado;;Si;19-08-26;19-08-26;19-08-26;00-01-00;;No;;;;;;;;;
6335;26101924039995;;Magdalena;;Enviado;;Si;19-08-26;19-08-26;19-08-26;00-01-00;;No;;;;;;;;;
5113;26101924043966;;Boyacá;;Enviado;;Si;19-08-26;19-08-26;00-01-00;00-01-00;;No;;;;;;;;;
5499;26101924047937;;Boyacá;;Enviado;;Si;;;;00-01-00;;;;;;;;;;;
5814;26101924051908;;Boyacá;;Enviado;;Si;19-08-26;19-08-26;19-08-26;00-01-00;;No;;;;;;;;;
5500;26101924055879;;Risaralda;;Enviado;;Si;19-08-26;19-08-26;19-08-26;00-01-00;;No;;;;;;;;;
6317;26101924059850;;Risaralda;;Enviado;;Si;19-08-26;19-08-26;00-01-00;00-01-00;;No;;;;;;;;;
5450;26101924063821;;N. Santander;;Enviado;;Si;19-08-26;19-08-26;19-08-26;00-01-00;;No;;;;;;;;;
5783;26101924067792;;N. Santander;;Enviado;;Si;19-08-26;19-08-26;00-01-00;00-01-00;;No;;;;;;;;;
5827;26101924071763;;N. Santander;;Enviado;;Si;19-08-26;19-08-26;19-08-26;00-01-00;;No;;;;;;;;;
5953;26101924075734;;N. Santander;;Enviado;;Si;19-08-26;19-08-26;19-08-26;00-01-00;;No;;;;;;;;;
6192;26101924079705;;N. Santander;;Enviado;;Si;19-08-26;19-08-26;19-08-26;00-01-00;;No;;;;;;;;;
6382;26101924083676;;N. Santander;;Enviado;;Si;19-08-26;19-08-26;19-08-26;00-01-00;;No;;;;;;;;;
5746;26101924087647;;Bolivar;;Enviado;;Si;19-08-26;19-08-26;19-08-26;00-01-00;;No;;;;;;;;;
5721;26101924091618;;Bolivar;;Enviado;;Si;19-08-26;19-08-26;19-08-26;00-01-00;;No;;;;;;;;;
5738;26101924095589;;Bolivar;;Enviado;;Si;19-08-26;19-08-26;19-08-26;00-01-00;;No;;;;;;;;;
5601;26101924099560;;Bolivar;;Enviado;;Si;19-08-26;19-08-26;19-08-26;00-01-00;;No;;;;;;;;;
5830;26101924103531;;Bolivar;;Enviado;;Si;19-08-26;19-08-26;19-08-26;00-01-00;;No;;;;;;;;;
5835;26101924107502;;Bolivar;;Enviado;;Si;19-08-26;19-08-26;19-08-26;00-01-00;;No;;;;;;;;;
5972;26101924111473;;Bolivar;;Enviado;;Si;19-08-26;19-08-26;19-08-26;00-01-00;;No;;;;;;;;;
5157;26101924115444;;Bolivar;;Enviado;;Si;19-08-26;19-08-26;19-08-26;00-01-00;;No;;;;;;;;;
6177;26101924119415;;Bolivar;;Enviado;;Si;19-08-26;19-08-26;19-08-26;00-01-00;;No;;;;;;;;;
6201;26101924123386;;Bolivar;;Enviado;;Si;19-08-26;19-08-26;19-08-26;00-01-00;;No;;;;;;;;;
6095;;;;jjqared@gmail.com;;;No;19-08-26;00-01-00;;00-01-00;;;;;;;;;;;
5516;26101923853829;Cancelación;Cundinamarca;;Pendiente;;No;19-08-26;00-01-00;;00-01-00;;;;;;;;;;;
5295;26101923853422;Cancelación;Cundinamarca; buitrago.gabriela@gmail.com;Pendiente;;No;19-08-26;00-01-00;;00-01-00;;;;;;;;;;;
5883;26101923917193;Venta;Cundinamarca;;Enviado;;Si;19-08-26;19-08-26;19-08-26;00-01-00;;No;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
;;;;;;;;00-01-00;00-01-00;;00-01-00;;;;;;;;;;;
